price,spec_rating,display_size,warranty,resolution_area,brand_Acer,brand_Apple,brand_Asus,brand_Dell,brand_HP,brand_Infinix,brand_Lenovo,brand_MSI,brand_Others,brand_Samsung,name,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,OS
80739,71.0,16.0,1,2304000,0,0,1,0,0,0,0,0,0,0,704,75,8,1,2,5,1,94,12
62990,64.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,587,45,1,1,2,5,1,111,12
62990,66.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,635,40,22,6,2,5,1,31,12
69501,71.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,653,146,19,1,4,5,1,31,12
59990,69.32352941,14.0,1,2073600,0,0,0,0,0,0,1,0,0,0,274,40,22,1,8,5,1,126,12
54990,69.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,651,146,19,6,4,5,1,31,12
64990,69.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,349,40,22,1,4,5,1,31,12
37729,60.0,15.6,1,2073600,0,0,0,0,0,0,0,1,0,0,399,34,18,1,2,5,1,111,12
50712,69.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,256,100,19,1,2,5,1,27,12
44990,62.0,14.0,1,2073600,0,0,0,0,0,0,0,1,0,0,393,27,28,1,2,5,1,111,12
23990,69.32352941,14.0,1,2304000,0,0,0,0,0,0,0,0,1,0,131,1,17,6,2,5,1,126,12
49990,63.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,30,109,24,1,2,5,1,82,12
72990,66.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,457,60,6,1,2,5,1,107,12
52101,66.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,266,28,28,1,2,5,1,94,12
28990,69.32352941,14.0,1,2073600,0,0,0,0,0,1,0,0,0,0,207,14,17,6,6,5,1,115,12
69490,65.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,464,45,1,1,2,5,1,121,12
39965,69.32352941,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,93,56,18,6,8,5,1,126,12
54990,67.0,14.0,1,2073600,1,0,0,0,0,0,0,0,0,0,80,58,1,1,2,5,1,31,12
46999,64.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,689,37,1,6,2,5,1,121,12
83990,65.0,15.6,1,4665600,0,0,1,0,0,0,0,0,0,0,755,63,6,1,8,5,1,111,12
51499,67.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,639,101,19,6,2,5,1,20,12
50990,68.0,14.0,1,2073600,0,0,0,1,0,0,0,0,0,0,763,107,19,1,2,5,1,80,12
23990,69.32352941,15.6,1,1049088,0,0,0,0,1,0,0,0,0,0,124,173,16,4,7,0,0,115,1
27990,69.32352941,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,71,126,28,6,8,5,1,81,12
79990,70.0,14.0,1,2073600,0,0,0,0,1,0,0,0,0,0,471,58,1,1,2,1,1,111,12
84390,60.0,15.6,1,2073600,0,0,0,0,0,0,0,0,0,1,184,66,1,1,7,5,1,123,12
24990,69.32352941,15.6,1,2073600,0,0,0,0,0,1,0,0,0,0,214,1,17,6,6,2,1,112,12
281990,82.0,16.0,1,5184000,0,0,0,0,0,0,0,0,0,1,193,75,8,3,8,1,1,132,12
26590,69.32352941,15.6,1,1049088,0,0,0,0,0,0,1,0,0,0,220,156,16,6,8,5,1,75,12
37990,60.0,14.0,1,2073600,0,0,0,0,0,1,0,0,0,0,208,27,28,1,6,1,1,111,12
71189,70.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,744,122,24,1,8,5,1,33,12
85999,76.0,16.1,1,2073600,0,0,0,0,1,0,0,0,0,0,659,139,24,1,4,5,1,50,12
93990,80.0,14.0,1,5184000,0,0,0,0,0,0,1,0,0,0,782,137,24,1,4,1,1,80,12
84990,69.0,14.0,1,9216000,0,0,1,0,0,0,0,0,0,0,804,42,6,1,8,5,1,123,12
44190,69.32352941,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,308,55,15,6,2,1,1,112,12
159990,79.0,16.0,1,4096000,1,0,0,0,0,0,0,0,0,0,475,76,14,1,4,1,1,63,12
52990,70.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,642,105,19,1,2,5,1,20,12
39990,62.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,101,27,28,6,2,5,1,123,12
73990,63.0,14.0,1,2304000,0,0,0,1,0,0,0,0,0,0,295,58,1,1,8,1,1,123,12
57500,70.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,253,22,28,1,2,5,1,26,12
59990,60.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,741,106,19,6,2,5,1,31,12
53990,69.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,98,40,22,1,2,5,1,27,12
33990,69.32352941,14.0,1,2073600,0,0,1,0,0,0,0,0,0,0,665,15,17,6,2,5,1,108,12
75990,70.0,16.0,1,4096000,0,0,0,1,0,0,0,0,0,0,329,59,6,1,8,5,1,123,12
144990,69.32352941,15.3,1,5368320,0,1,0,0,0,0,0,0,0,0,375,164,21,6,2,5,1,1,7
60539,64.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,690,43,6,1,2,5,1,121,12
56990,69.32352941,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,683,114,24,1,2,5,1,72,13
75533,66.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,456,60,6,1,2,5,1,107,12
74990,69.0,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,166,62,2,6,4,5,1,50,12
94990,77.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,531,136,24,1,4,5,1,53,12
179990,77.0,16.0,1,4096000,0,0,1,0,0,0,0,0,0,0,501,79,14,1,4,1,1,63,12
77990,72.0,16.0,1,2304000,0,0,1,0,0,0,0,0,0,0,709,40,22,1,2,5,1,33,12
37990,69.32352941,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,42,34,18,6,2,5,1,126,12
62990,69.32352941,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,17,58,1,1,2,5,1,105,12
129999,78.0,16.0,1,4096000,1,0,0,0,0,0,0,0,0,0,479,74,10,1,4,1,1,63,12
52990,62.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,459,107,19,6,2,5,1,80,12
104990,75.0,16.0,1,2304000,1,0,0,0,0,0,0,0,0,0,481,74,10,1,4,5,1,53,12
47999,62.0,14.0,1,3110400,0,0,0,0,0,0,0,0,1,0,107,22,28,6,6,5,1,123,12
114499,75.0,16.0,1,2304000,1,0,0,0,0,0,0,0,0,0,480,74,10,1,4,1,1,53,12
49990,60.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,453,34,18,6,2,5,1,126,12
39990,69.32352941,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,692,34,18,6,2,5,1,121,12
68990,73.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,405,132,19,1,4,5,1,33,12
79990,72.0,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,406,136,24,1,4,5,1,33,12
66490,75.0,15.6,2,2073600,0,0,0,0,0,0,0,1,0,0,174,30,24,1,2,5,1,43,12
69990,70.0,14.0,1,2304000,0,0,1,0,0,0,0,0,0,0,751,114,24,1,2,5,1,80,12
86490,65.0,15.6,1,4665600,0,0,1,0,0,0,0,0,0,0,755,63,6,1,8,5,1,111,12
32790,69.32352941,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,11,126,28,6,2,5,1,79,12
429990,69.32352941,16.0,1,9216000,0,0,1,0,0,0,0,0,0,0,503,142,11,3,4,3,1,7,12
49990,68.0,14.0,1,2073600,0,0,0,1,0,0,0,0,0,0,763,107,19,1,2,5,1,80,12
43990,62.0,14.0,1,2073600,0,0,0,0,0,0,0,1,0,0,397,131,19,1,2,5,1,79,12
36990,69.32352941,14.0,1,2073600,0,0,0,0,0,0,0,1,0,0,394,27,28,6,2,5,1,111,12
102990,79.0,15.6,2,2073600,0,0,0,0,0,0,0,1,0,0,525,48,2,1,4,1,1,63,12
29990,69.32352941,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,157,177,25,6,8,2,1,112,12
77889,70.0,14.0,1,2073600,0,0,0,0,1,0,0,0,0,0,471,58,1,1,2,1,1,111,12
69990,69.32352941,15.6,1,2073600,0,0,0,0,0,0,0,0,0,1,185,58,1,6,7,5,1,123,12
138990,74.0,15.6,1,2073600,0,0,0,0,0,0,0,0,0,1,181,68,6,1,7,1,1,123,12
51990,67.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,649,101,19,6,2,5,1,20,12
69990,69.32352941,14.0,1,2073600,0,0,0,0,0,0,0,0,0,1,182,59,6,6,8,5,1,123,12
72990,66.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,746,105,19,1,2,5,1,33,12
50400,67.0,16.0,1,2304000,0,0,1,0,0,0,0,0,0,0,722,105,19,1,2,5,1,85,12
108000,60.0,14.0,1,1049088,0,0,0,1,0,0,0,0,0,0,355,37,1,6,2,5,1,123,12
50990,69.32352941,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,304,37,1,6,2,1,0,123,12
47990,67.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,247,20,28,6,2,5,1,36,12
91990,80.0,16.1,1,2073600,0,0,0,0,1,0,0,0,0,0,418,120,24,1,4,5,1,58,12
25449,69.32352941,14.0,1,1049088,1,0,0,0,0,0,0,0,0,0,439,85,17,6,2,2,1,80,12
33207,69.32352941,15.6,1,2073600,1,0,0,0,0,0,0,0,0,0,76,34,18,6,2,5,1,99,12
52990,69.32352941,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,461,37,1,6,2,5,1,121,12
42434,66.0,14.0,1,2073600,0,0,0,1,0,0,0,0,0,0,762,107,19,6,2,5,1,80,12
42200,65.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,24,15,17,6,2,1,0,112,12
41990,60.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,462,98,19,1,2,5,1,80,12
80900,79.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,529,123,24,1,4,5,1,37,12
38990,69.32352941,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,685,15,17,6,2,5,1,115,12
135990,69.32352941,13.6,1,4259840,0,1,0,0,0,0,0,0,0,0,379,165,20,6,11,5,1,1,7
72490,64.0,15.6,1,2073600,0,0,1,0,0,0,0,0,0,0,758,42,6,1,2,5,1,119,12
72490,62.0,14.0,1,5184000,0,0,1,0,0,0,0,0,0,0,754,42,6,1,2,5,1,123,12
